/usr/local/mysql/bin/mysqld, Version: 5.7.14 (MySQL Community Server (GPL)). started with:
Tcp port: 3306  Unix socket: /tmp/mysql.sock
Time                 Id Command    Argument
2016-08-25T16:34:56.962204Z	 1005 Query	SET NAMES latin1
2016-08-25T16:34:56.962342Z	 1005 Query	SET character_set_results = NULL
2016-08-25T16:34:56.962489Z	 1005 Query	SET autocommit=1
2016-08-25T16:34:56.963635Z	 1006 Connect	root@localhost on election using TCP/IP
2016-08-25T16:34:56.963887Z	 1006 Query	/* mysql-connector-java-5.1.39 ( Revision: 3289a357af6d09ecc1a10fd3c26e95183e5790ad ) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_buffer_length AS net_buffer_length, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@tx_isolation AS tx_isolation, @@wait_timeout AS wait_timeout
2016-08-25T16:34:56.964346Z	 1006 Query	SET NAMES latin1
2016-08-25T16:34:56.964482Z	 1006 Query	SET character_set_results = NULL
2016-08-25T16:34:56.964646Z	 1006 Query	SET autocommit=1
2016-08-25T16:34:56.966402Z	 1007 Connect	root@localhost on election using TCP/IP
2016-08-25T16:34:56.966674Z	 1007 Query	/* mysql-connector-java-5.1.39 ( Revision: 3289a357af6d09ecc1a10fd3c26e95183e5790ad ) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_buffer_length AS net_buffer_length, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@tx_isolation AS tx_isolation, @@wait_timeout AS wait_timeout
2016-08-25T16:34:56.967210Z	 1007 Query	SET NAMES latin1
2016-08-25T16:34:56.967625Z	 1007 Query	SET character_set_results = NULL
2016-08-25T16:34:56.967842Z	 1007 Query	SET autocommit=1
2016-08-25T16:34:56.969053Z	 1008 Connect	root@localhost on election using TCP/IP
